ID,Style,Artwork,Artist,Date,Link
78694,Abstract-Expressionism,Ferragosto IV,Cy Twombly,1961,https://uploads3.wikiart.org/images/cy-twombly/ferragosto-iv.jpg
78695,Abstract-Expressionism,Ferragosto V,Cy Twombly,1961,https://uploads2.wikiart.org/images/cy-twombly/ferragosto-v.jpg
78696,Abstract-Expressionism,School of Athens,Cy Twombly,1961,https://uploads6.wikiart.org/images/cy-twombly/school-of-athens.jpg
78697,Abstract-Expressionism,Untitled,Cy Twombly,1961,https://uploads7.wikiart.org/images/cy-twombly/untitled.jpg
78698,Abstract-Expressionism,Phenomena Over the Cusp,Paul Jenkins,1961,https://uploads2.wikiart.org/images/paul-jenkins/not_detected_235706.jpg
78699,Abstract-Expressionism,Celebration,Philip Guston,1961,https://uploads4.wikiart.org/images/philip-guston/celebration.jpg
78700,Abstract-Expressionism,Close Up III,Philip Guston,1961,https://uploads1.wikiart.org/images/philip-guston/close-up-iii-1961.jpg
78701,Abstract-Expressionism,La Resille,Mark Tobey,1961,https://uploads5.wikiart.org/images/mark-tobey/la-resille-1961.jpg
78702,Abstract-Expressionism,Louvre,Mark Tobey,1961,https://uploads1.wikiart.org/images/mark-tobey/louvre-1961.jpg
78703,Abstract-Expressionism,Untitled,Mark Tobey,1961,https://uploads3.wikiart.org/images/mark-tobey/untitled-1961.jpg
78704,Abstract-Expressionism,Blue I,Joan Miro,1961,https://uploads0.wikiart.org/images/joan-miro/blue-i-1961.jpg
78705,Abstract-Expressionism,Black Diamond,Hans Hofmann,1961,https://uploads1.wikiart.org/images/hans-hofmann/black-diamond-1961.jpg
78706,Abstract-Expressionism,Summer Night's Bliss,Hans Hofmann,1961,https://uploads8.wikiart.org/images/hans-hofmann/summer-night-s-bliss-1961.jpg
78707,Abstract-Expressionism,Delirious Pink,Hans Hofmann,1961,https://uploads2.wikiart.org/images/hans-hofmann/delirious-pink-1961.jpg
78708,Abstract-Expressionism,May 26th Backwards,Helen Frankenthaler,1961,https://uploads7.wikiart.org/images/helen-frankenthaler/may-26th-backwards-1961(1).jpg
78709,Abstract-Expressionism,Blue Form in a Scene,Helen Frankenthaler,1961,https://uploads6.wikiart.org/images/helen-frankenthaler/blue-form-in-a-scene-1961.jpg
78710,Abstract-Expressionism,Moving Day,Helen Frankenthaler,1961,https://uploads5.wikiart.org/images/helen-frankenthaler/moving-day-1961.jpg
78711,Abstract-Expressionism,"Summerscene, Provincetown",Helen Frankenthaler,1961,https://uploads1.wikiart.org/images/helen-frankenthaler/summerscene-provincetown-1961.jpg
78712,Abstract-Expressionism,"Hurrah for the Red, White, and Blue",Sam Francis,1961,https://uploads2.wikiart.org/images/sam-francis/hurrah-for-the-red-white-and-blue-1961.jpg
78713,Abstract-Expressionism,Blue 47,Sam Francis,1961,https://uploads3.wikiart.org/images/sam-francis/blue-47-1961.jpg
78714,Abstract-Expressionism,Untitled (Yellow),Sam Francis,1960-1961,https://uploads2.wikiart.org/images/sam-francis/untitled-yellow-1961.jpg
78715,Abstract-Expressionism,Untitled (SF 61-012),Sam Francis,1961,https://uploads5.wikiart.org/images/sam-francis/untitled-sf-61-012-1961.jpg
78716,Abstract-Expressionism,A Near Distance,Perle Fine,1961,https://uploads1.wikiart.org/images/perle-fine/a-near-distance-1961.jpg
78717,Abstract-Expressionism,Untitled,Joan Mitchell,1961,https://uploads6.wikiart.org/images/joan-mitchell/untitled-1961.jpg
78718,Abstract-Expressionism,Untitled Warm Painting,Brett Whiteley,1961,https://uploads3.wikiart.org/images/brett-whiteley/untitled-warm-painting-1961.jpg
78719,Abstract-Expressionism,Adam,Theodoros Stamos,1961,https://uploads5.wikiart.org/images/theodoros-stamos/adam-1961.jpg
78720,Abstract-Expressionism,Edge of Day,Theodoros Stamos,1961,https://uploads3.wikiart.org/images/theodoros-stamos/edge-of-day-1961.jpg
78721,Abstract-Expressionism,The Door,Theodoros Stamos,1961,https://uploads0.wikiart.org/images/theodoros-stamos/the-door-1961.jpg
78722,Abstract-Expressionism,White Gothic No. 5,Richard Pousette-Dart,1961,https://uploads5.wikiart.org/images/richard-pousette-dart/white-gothic-no-5-1961.jpg
78723,Abstract-Expressionism,Wild Vine,Hans Hofmann,1961,https://uploads6.wikiart.org/images/hans-hofmann/wild-vine-1961.jpg
78724,Abstract-Expressionism,Untitled,David Smith,1961,https://uploads4.wikiart.org/images/david-smith/untitled-1961.jpg
78725,Abstract-Expressionism,Swan Lake #2,Helen Frankenthaler,1961,https://uploads6.wikiart.org/images/helen-frankenthaler/swan-lake-2-1961.jpg
78726,Abstract-Expressionism,Aquatic,William Baziotes,1961,https://uploads8.wikiart.org/images/william-baziotes/aquatic-1961.jpg
78727,Abstract-Expressionism,Red Wall,William Baziotes,1961,https://uploads0.wikiart.org/images/william-baziotes/red-wall-1961.jpg
78728,Abstract-Expressionism,Scepter,William Baziotes,1961,https://uploads8.wikiart.org/images/william-baziotes/scepter-1961.jpg
78729,Abstract-Expressionism,Water Forms,William Baziotes,1961,https://uploads3.wikiart.org/images/william-baziotes/water-forms-1961.jpg
78730,Abstract-Expressionism,Crags and Crevices,Jane Frank,1961,https://uploads4.wikiart.org/images/jane-frank/crags-and-crevices-1961.jpg
78731,Abstract-Expressionism,Rockscape II,Jane Frank,1961,https://uploads7.wikiart.org/images/jane-frank/rockscape-ii-1961.jpg
78732,Abstract-Expressionism,Golden Presence,Richard Pousette-Dart,1961,https://uploads7.wikiart.org/images/richard-pousette-dart/golden-presence.jpg
78733,Abstract-Expressionism,Abduction A,Robert Goodnough,1961,https://uploads3.wikiart.org/images/robert-goodnough/abduction-a-1961.jpg
78734,Abstract-Expressionism,Figure with Animals,Robert Goodnough,1961,https://uploads2.wikiart.org/images/robert-goodnough/figure-with-animals-1961.jpg
78735,Abstract-Expressionism,Movement of Horses,Robert Goodnough,1961,https://uploads1.wikiart.org/images/robert-goodnough/movement-of-horses-1961.jpg
78736,Abstract-Expressionism,"Blue, Red, Black, and White",Esteban Vicente,1961,https://uploads6.wikiart.org/images/esteban-vicente/blue-red-black-and-white-1961.jpg
78737,Abstract-Expressionism,Passage de Fuego,Manabu Mabe,1961,https://uploads3.wikiart.org/images/manabu-mabe/passage-de-fuego-1961.jpg
78738,Abstract-Expressionism,Taiki No. 227,Manabu Mabe,1961,https://uploads8.wikiart.org/images/manabu-mabe/taiki-no-227-1961.jpg
78739,Abstract-Expressionism,Untitled,Eva Hesse,1961,https://uploads2.wikiart.org/images/eva-hesse/untitled-1961.jpg
78740,Abstract-Expressionism,August Morning,Kazuo Nakamura,1961,https://uploads4.wikiart.org/images/kazuo-nakamura/august-morning-1961.jpg
78741,Abstract-Expressionism,Antibes,Abidin Dino,1961,https://uploads3.wikiart.org/images/abidin-dino/antibes-1961.jpg
78742,Abstract-Expressionism,Antibes,Abidin Dino,1961,https://uploads5.wikiart.org/images/abidin-dino/antibes-1961-1.jpg
78743,Abstract-Expressionism,A World in Itself,Alfred Jensen,1961,https://uploads6.wikiart.org/images/alfred-jensen/a-world-in-itself-1961.jpg
78744,Abstract-Expressionism,An Influence of the Earth's Motion on Optical Phenomena,Alfred Jensen,1961,https://uploads8.wikiart.org/images/alfred-jensen/an-influence-of-the-earth-s-motion-on-optical-phenomena-1961.jpg
78745,Abstract-Expressionism,Untitled,Alfred Jensen,1961,https://uploads6.wikiart.org/images/alfred-jensen/untitled-1961.jpg
78746,Abstract-Expressionism,Chicago 6,Aaron Siskind,1961,https://uploads7.wikiart.org/images/aaron-siskind/chicago-6-1961.jpg
78747,Abstract-Expressionism,2 to the Moon,Hassel Smith,1961,https://uploads1.wikiart.org/images/hassel-smith/2-to-the-moon-1961.jpg
78748,Abstract-Expressionism,Sebastopol Autumn,Hassel Smith,1961,https://uploads5.wikiart.org/images/hassel-smith/sebastopol-autumn-1961.jpg
78749,Abstract-Expressionism,Incision,Jay DeFeo,1961,https://uploads2.wikiart.org/images/jay-defeo/incision-1961.jpg
